City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
199,Barcelos,PT,2021-09-22 00:38:32,41.5388,-8.6151,68.85,60,0,5.88
200,Vilhena,BR,2021-09-22 00:38:32,-12.7406,-60.1458,78.57,24,2,3.44
201,Southbridge,US,2021-09-22 00:34:38,42.0751,-72.0334,66.43,91,100,3.18
202,Fort Nelson,CA,2021-09-22 00:38:33,58.8053,-122.7002,67.59,30,40,6.91
203,Georgetown,MY,2021-09-22 00:35:05,5.4112,100.3354,79.9,85,40,3.44
204,Wanaka,NZ,2021-09-22 00:38:33,-44.7,169.15,48.38,68,9,3.33
205,San Jose,US,2021-09-22 00:37:46,37.3394,-121.895,98.1,25,75,4.0
206,Luderitz,NA,2021-09-22 00:38:34,-26.6481,15.1594,69.67,30,5,9.89
207,Nushki,PK,2021-09-22 00:38:34,29.5542,66.0215,70.45,15,0,1.66
208,Domoni,KM,2021-09-22 00:38:34,-12.2569,44.5319,74.62,84,7,2.84
209,Uruzgan,AF,2021-09-22 00:38:35,32.8333,66.0,62.62,15,0,4.21
210,Novo Aripuana,BR,2021-09-22 00:38:35,-5.1206,-60.3797,79.79,60,98,3.69
211,Ekibastuz,KZ,2021-09-22 00:38:35,51.6667,75.3667,39.18,68,93,8.97
212,Ushtobe,KZ,2021-09-22 00:38:36,45.2514,77.9838,45.3,36,87,9.24
213,Bethel,US,2021-09-22 00:38:36,41.3712,-73.414,70.65,88,1,5.75
214,Canico,PT,2021-09-22 00:38:36,32.6333,-16.85,73.0,79,40,1.01
215,Khatanga,RU,2021-09-22 00:38:37,71.9667,102.5,34.14,84,100,14.38
216,Carman,CA,2021-09-22 00:34:05,49.4992,-98.0016,61.72,58,59,8.05
217,Nabire,ID,2021-09-22 00:38:37,-3.3667,135.4833,77.99,89,100,2.48
218,Salisbury,GB,2021-09-22 00:33:55,51.0693,-1.7957,54.46,90,100,3.44
219,Pevek,RU,2021-09-22 00:38:38,69.7008,170.3133,26.94,78,99,11.18
220,Kalmunai,LK,2021-09-22 00:38:38,7.4167,81.8167,80.55,77,100,2.73
221,Codrington,AU,2021-09-22 00:38:38,-38.2667,141.9667,56.55,78,100,11.52
