City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Saint-Francois,FR,46.4154,3.9054,41.68,100,0,0.0,clear sky
123,Japura,ID,-0.3167,102.35,74.35,89,100,3.29,overcast clouds
124,Isangel,VU,-19.55,169.2667,78.91,69,100,19.57,overcast clouds
125,Saskylakh,RU,71.9167,114.0833,21.88,91,100,2.17,overcast clouds
126,Mae Hong Son,TH,19.3003,97.9685,78.94,89,75,0.0,broken clouds
127,Lulea,SE,65.5842,22.1547,48.27,81,90,6.91,overcast clouds
128,Hobyo,SO,5.3505,48.5268,77.88,88,93,17.13,overcast clouds
129,Baturaja,ID,-4.1333,104.1667,77.07,83,100,2.21,heavy intensity rain
130,Mahebourg,MU,-20.4081,57.7,72.25,78,75,12.66,light rain
131,Requena,ES,39.4883,-1.1004,64.13,94,20,1.83,few clouds
132,Georgetown,MY,5.4112,100.3354,84.13,82,20,3.44,few clouds
133,Lagoa,PT,39.05,-27.9833,70.12,86,20,4.52,few clouds
134,Saldanha,ZA,-33.0117,17.9442,53.65,90,0,11.12,clear sky
135,Nikolskoye,RU,59.7035,30.7861,42.69,96,51,4.76,broken clouds
136,Iqaluit,CA,63.7506,-68.5145,26.33,100,1,2.3,fog
137,Talcahuano,CL,-36.7167,-73.1167,51.48,76,0,4.61,clear sky
138,Geraldton,AU,-28.7667,114.6,66.61,88,40,13.8,scattered clouds
139,Iskateley,RU,67.6803,53.1512,32.41,85,78,1.21,broken clouds
140,Tasiilaq,GL,65.6145,-37.6368,35.76,87,8,5.01,clear sky
141,Rawson,AR,-43.3002,-65.1023,51.1,59,2,14.41,clear sky
142,Lumeje,AO,-11.55,20.7833,69.01,78,100,10.89,overcast clouds
143,Asau,RO,46.4333,26.4,42.76,85,41,2.35,scattered clouds
144,Port Hedland,AU,-20.3167,118.5667,82.45,65,5,11.5,clear sky
145,Tezu,IN,27.9167,96.1667,77.07,84,65,0.51,broken clouds
146,Coihaique,CL,-45.5752,-72.0662,40.95,65,62,4.61,light rain
147,Fort Nelson,CA,58.8053,-122.7002,42.39,87,90,5.75,overcast clouds
148,Panaba,MX,21.2833,-88.2667,80.04,74,25,10.71,scattered clouds
149,Zhigansk,RU,66.7697,123.3711,35.29,45,17,6.35,few clouds
150,Sao Filipe,CV,14.8961,-24.4956,79.63,77,100,4.38,overcast clouds
151,Leningradskiy,RU,69.3833,178.4167,26.47,92,100,13.24,light snow
152,Glenwood Springs,US,39.5505,-107.3248,61.12,79,98,2.48,overcast clouds
153,Victoria,HK,22.2855,114.1577,89.65,80,0,1.99,clear sky
154,Chuy,UY,-33.6971,-53.4616,59.43,93,100,14.27,overcast clouds
155,Abu Dhabi,AE,24.4667,54.3667,86.11,84,0,4.61,clear sky
156,Merauke,ID,-8.4667,140.3333,82.54,77,55,11.23,broken clouds
157,Bethel,US,41.3712,-73.414,57.65,83,1,3.44,clear sky
158,Hanstholm,DK,57.1167,8.6167,52.75,92,100,27.85,light rain
159,Atambua,ID,-9.1061,124.8925,85.96,44,24,2.89,few clouds
160,Port Elizabeth,ZA,-33.918,25.5701,62.89,100,90,4.61,mist
161,Barra Da Estiva,BR,-13.6261,-41.3269,68.79,48,5,4.5,clear sky
162,La Rioja,ES,42.25,-2.5,51.48,73,96,4.85,overcast clouds
163,Areosa,PT,41.7178,-8.8571,63.32,77,100,10.47,overcast clouds
164,Cankuzo,BI,-3.1333,30.5833,62.94,72,100,0.94,overcast clouds
165,Buta,CD,2.7858,24.73,70.54,100,100,1.12,overcast clouds
166,Severo-Kurilsk,RU,50.6789,156.125,48.51,96,100,21.85,moderate rain
167,Yaan,NG,7.3833,8.5667,72.32,96,100,5.23,moderate rain
168,Hendrina,ZA,-26.1588,29.7153,53.28,89,39,3.87,scattered clouds
169,Ewa Beach,US,21.3156,-158.0072,84.15,61,75,14.97,broken clouds
170,Novichikha,RU,52.204,81.3877,37.6,96,100,9.62,overcast clouds
171,Christchurch,NZ,-43.5333,172.6333,60.48,51,0,8.01,clear sky
172,Kirakira,SB,-10.4544,161.9205,84.63,69,99,8.41,overcast clouds
173,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,12.66,light rain
174,Taitung,TW,22.7583,121.1444,86.27,58,20,2.3,few clouds
175,Port Alfred,ZA,-33.5906,26.891,60.98,91,0,9.06,clear sky
176,Manokwari,ID,-0.8667,134.0833,83.79,68,23,4.41,few clouds
177,Morro Bay,US,35.3658,-120.8499,88.38,36,0,1.99,clear sky
178,San Benito Abad,CO,8.929,-75.0271,76.51,91,28,6.69,scattered clouds
179,Yar-Sale,RU,66.8333,70.8333,34.09,86,100,19.82,overcast clouds
180,Kilrush,IE,52.6397,-9.4833,55.15,86,11,27.56,few clouds
181,Denpasar,ID,-8.65,115.2167,79.72,88,40,5.75,scattered clouds
182,Airai,TL,-8.9266,125.4092,79.41,26,44,3.0,scattered clouds
183,Bansi,IN,27.1833,82.9333,76.19,92,95,4.88,overcast clouds
184,Komsomolskiy,UZ,40.4272,71.7189,56.62,42,54,2.95,broken clouds
185,Fortuna,US,40.5982,-124.1573,75.18,70,75,5.01,broken clouds
186,Avera,US,33.194,-82.5271,76.71,61,100,3.0,overcast clouds
187,Bardiyah,LY,31.7561,25.0865,72.9,72,47,11.59,scattered clouds
188,Qaanaaq,GL,77.484,-69.3632,27.52,95,100,14.38,light snow
189,Khatanga,RU,71.9667,102.5,28.58,97,99,6.58,overcast clouds
190,Mingshui,CN,36.7167,117.5,79.59,74,0,4.21,light rain
191,Turukhansk,RU,65.8167,87.9833,34.32,98,100,7.83,overcast clouds
192,Doha,QA,25.2867,51.5333,85.98,48,0,4.61,clear sky
193,Saiha,IN,22.4833,92.9667,73.33,87,74,1.57,broken clouds
194,San Jose,US,37.3394,-121.895,88.36,21,20,1.01,smoke
195,Salalah,OM,17.0151,54.0924,82.49,78,75,4.61,broken clouds
196,Arraial Do Cabo,BR,-22.9661,-42.0278,69.53,87,100,8.57,overcast clouds
197,Vardo,NO,70.3705,31.1107,47.05,71,85,15.93,overcast clouds
198,Sampang,ID,-7.1872,113.2394,80.55,69,16,16.46,few clouds
199,Constitucion,CL,-35.3333,-72.4167,48.45,78,6,9.69,clear sky
200,Kapuskasing,CA,49.4169,-82.4331,46.49,87,20,3.44,few clouds
201,Hilton Head Island,US,32.2163,-80.7526,75.97,84,1,0.0,clear sky
202,Arlit,NE,18.7369,7.3853,86.07,11,8,12.17,clear sky
203,Moussoro,TD,13.6408,16.4901,86.36,18,5,8.88,clear sky
204,Kudahuvadhoo,MV,2.6708,72.8944,82.29,70,100,7.76,overcast clouds
205,San Quintin,MX,30.4833,-115.95,70.75,74,0,9.4,clear sky
206,Fort Pierce,US,27.4467,-80.3256,81.05,73,1,7.0,clear sky
207,Nanchang,CN,28.6833,115.8833,80.29,62,0,2.64,clear sky
208,Mundi,IN,22.0667,76.5,75.85,89,22,3.85,few clouds
209,Patacamaya,BO,-17.2333,-67.9167,49.69,69,44,6.67,scattered clouds
210,Harper,LR,4.375,-7.7169,76.82,88,94,4.83,light rain
211,Celestun,MX,20.8667,-90.4,82.63,75,99,16.98,overcast clouds
212,Katsuura,JP,35.1333,140.3,69.82,96,100,36.64,overcast clouds
213,Misratah,LY,32.3754,15.0925,76.66,62,0,9.6,clear sky
214,Kavieng,PG,-2.5744,150.7967,84.56,73,91,14.7,light rain
215,Mangai,CD,-4.05,19.5333,68.79,99,91,2.13,overcast clouds
216,Vanderhoof,CA,54.0166,-124.0198,54.61,46,71,11.72,broken clouds
